ID,CoverageField2A,CoverageField4B,CoverageField11A,SalesField2B,SalesField8,SalesField13,PersonalField4A,PersonalField9,PersonalField13,PersonalField24,PersonalField29,PersonalField34,PersonalField39,PersonalField44,PersonalField49,PersonalField54,PersonalField59,PersonalField64,PersonalField69,PersonalField74,PersonalField79,PropertyField1A,PropertyField8,PropertyField12,PropertyField17,PropertyField21B,PropertyField26A,PropertyField39B,GeographicField3A,GeographicField5B,GeographicField8A,GeographicField10B,GeographicField13A,GeographicField15B,GeographicField18A,GeographicField20B,GeographicField23A,GeographicField25B,GeographicField28A,GeographicField30B,GeographicField33A,GeographicField35B,GeographicField38A,GeographicField40B,GeographicField43A,GeographicField45B,GeographicField48A,GeographicField50B,GeographicField53A,GeographicField55B,GeographicField58A,GeographicField60B,TARGET
257121,6,9,9,10,17575,0,8,3,2,0,1,1,0,0,0,0,0,0,0,0,0,16,0,1,0,10,3,4,9,20,5,25,5,11,-1,19,-1,5,11,25,5,10,22,21,11,14,14,8,11,20,14,4,0
360878,9,15,3,20,12762,0,7,2,2,0,2,1,0,0,0,0,0,0,0,0,0,4,0,4,1,16,16,10,15,14,24,25,24,22,-1,16,-1,4,7,8,8,22,9,22,10,10,17,9,20,8,6,11,0
392837,17,22,2,8,42791,0,11,3,2,0,1,1,0,0,0,0,0,0,0,0,0,8,1,1,1,23,13,11,23,13,10,25,9,12,-1,16,-1,3,7,14,14,21,7,24,14,12,25,24,24,1,10,23,0
124138,11,17,3,9,9789,0,11,3,2,0,2,1,0,0,0,0,0,0,0,0,0,16,1,2,2,18,14,3,18,13,2,25,2,7,-1,9,-1,24,20,10,6,6,7,12,2,25,18,18,23,1,7,24,0
152726,8,13,8,11,42273,0,-1,3,2,0,2,1,0,0,0,0,0,0,0,0,0,15,0,2,1,14,12,5,9,13,2,25,2,5,-1,2,-1,15,11,14,13,23,9,7,9,3,13,8,10,22,7,7,0
364214,8,13,8,5,60226,0,4,2,2,0,2,1,0,0,0,0,0,0,0,0,0,10,1,4,1,14,14,10,13,13,2,25,2,18,-1,5,-1,25,21,7,9,8,10,9,1,9,13,5,17,18,20,15,0
402819,10,16,3,11,54552,0,-1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,3,0,4,0,16,3,9,6,13,2,25,2,17,-1,17,-1,24,25,2,4,6,2,4,2,25,8,3,10,24,18,4,0
38439,8,12,8,9,10967,0,20,2,2,0,1,1,0,0,0,0,0,0,0,0,0,22,0,1,1,13,4,6,19,20,5,25,5,11,-1,19,-1,22,8,22,5,14,12,21,11,15,21,19,20,5,10,21,0
432086,6,17,10,21,5099,0,21,2,2,0,1,1,0,0,0,0,0,0,0,0,0,5,1,4,1,8,20,25,14,24,14,25,15,22,-1,3,-1,10,6,1,10,9,1,10,22,21,9,14,15,15,9,19,0
341217,8,13,4,9,8443,0,-1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,13,0,4,1,13,15,11,11,13,2,25,2,5,-1,5,-1,11,11,17,14,12,16,6,9,4,7,11,12,23,15,17,0
214738,9,14,3,18,49990,0,8,2,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,0,14,25,24,20,14,24,25,24,25,-1,15,-1,8,8,7,10,4,14,24,11,11,15,13,23,3,7,19,0
23917,5,5,12,22,16562,1,19,2,2,0,1,1,0,0,0,0,0,0,0,0,0,11,1,4,1,6,16,24,13,23,14,25,15,22,-1,8,-1,10,11,4,2,10,5,25,21,19,13,11,19,7,5,8,0
315217,6,8,10,9,39541,0,14,2,2,0,1,1,0,0,0,0,0,0,0,0,0,17,0,1,0,9,3,17,2,19,5,25,5,11,-1,19,-1,12,15,25,5,23,25,21,12,19,6,17,2,25,16,3,0
305685,7,12,4,13,27066,0,5,3,2,0,1,1,0,0,0,0,0,0,0,0,0,11,1,1,1,12,12,21,15,15,5,25,5,8,-1,20,-1,2,3,9,7,6,11,16,13,15,23,20,21,6,18,24,0
182556,9,21,7,18,20958,0,8,2,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,1,15,15,10,9,16,25,25,24,23,-1,16,-1,4,3,11,9,11,4,18,12,10,12,5,19,8,10,7,0
366591,4,5,6,24,3307,0,4,2,2,0,2,1,0,0,0,0,0,0,0,0,0,13,0,4,0,5,9,13,7,15,25,25,25,23,-1,13,-1,3,3,6,12,9,6,22,11,10,11,11,19,10,16,12,0
403909,14,21,5,13,37859,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,14,1,1,1,21,9,21,10,13,10,25,10,12,-1,16,-1,1,3,7,10,24,8,9,11,14,15,4,18,12,10,13,0
98268,17,23,4,6,23731,0,11,2,2,0,3,1,0,1,0,0,0,0,0,1,0,6,1,4,1,23,10,5,23,13,2,25,2,5,-1,4,-1,11,6,5,19,12,20,4,7,3,20,14,19,8,15,21,0
272644,6,8,25,23,35720,1,10,2,2,0,1,1,0,0,0,0,0,0,0,0,0,10,1,4,1,9,10,8,3,25,13,25,14,22,-1,7,-1,10,17,22,4,2,6,12,22,20,1,16,9,20,17,3,0
180330,11,17,6,3,51770,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,15,1,1,1,18,11,9,22,13,10,25,9,12,-1,14,-1,3,6,11,10,18,8,15,11,12,20,12,22,6,14,22,1
94953,3,3,14,11,23134,0,20,2,2,0,3,1,0,1,0,0,0,0,0,1,0,10,0,4,0,3,9,16,4,13,2,25,2,12,-1,16,-1,17,9,19,4,11,13,16,6,24,14,19,18,16,11,3,0
102476,25,25,2,13,20983,0,9,2,2,0,2,1,0,0,0,0,0,0,0,0,0,7,1,4,2,25,11,3,16,13,2,25,2,3,-1,2,-1,20,17,14,25,25,10,3,15,3,20,17,23,8,4,24,0
278833,11,17,6,7,33398,0,8,2,2,0,2,1,0,0,0,0,0,0,0,0,0,4,1,4,1,18,9,17,16,13,2,25,2,11,-1,12,-1,20,12,12,18,19,15,6,8,3,10,8,10,22,25,16,1
270640,25,25,2,16,35494,1,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,8,1,1,1,25,15,3,18,13,10,25,9,12,-1,18,-1,3,3,10,11,20,8,22,11,10,21,17,21,2,19,18,1
407960,7,11,8,23,58821,0,12,1,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,1,12,14,11,5,23,18,25,18,25,-1,1,-1,18,11,20,5,20,8,21,3,16,2,22,16,17,12,9,0
241431,5,6,11,14,37520,0,7,2,2,0,1,2,0,0,0,0,0,0,0,0,0,25,0,1,1,7,4,15,7,13,10,25,9,8,-1,14,-1,1,4,8,9,13,11,22,12,8,18,14,19,9,17,8,0
289830,20,24,1,4,59807,0,14,2,2,0,2,1,0,0,0,0,0,0,0,0,0,8,0,1,0,24,1,1,20,13,10,25,10,15,-1,15,-1,2,6,18,7,19,13,16,11,12,20,12,21,6,14,20,0
418881,7,11,23,12,45197,0,10,2,2,0,1,1,0,0,0,0,0,0,0,0,0,8,1,1,1,11,11,21,13,13,12,25,11,19,-1,8,-1,18,7,21,6,24,9,11,8,7,22,7,25,2,10,16,1
115298,5,5,12,25,67024,0,-1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,9,0,4,1,6,13,20,9,24,14,25,15,22,-1,6,-1,4,12,7,8,3,4,10,21,19,9,17,17,15,16,6,0
331093,9,14,7,4,8194,0,7,3,2,0,2,1,0,0,0,0,0,0,0,0,0,15,1,2,1,15,13,5,6,13,2,25,2,6,-1,14,-1,24,15,18,5,23,7,12,2,25,6,5,8,22,10,4,0
340965,7,11,4,14,27368,0,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,10,1,4,0,11,11,20,15,21,5,25,5,16,-1,25,-1,6,3,5,5,18,8,10,11,14,19,14,18,13,10,14,0
350275,12,18,3,2,41238,0,10,3,2,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,0,19,10,16,19,21,5,25,5,16,-1,24,-1,8,6,6,9,17,17,16,16,15,24,25,24,3,17,24,0
222975,13,20,14,25,15933,0,5,2,2,0,1,1,0,0,0,0,0,0,0,0,0,10,1,4,1,20,7,5,13,19,5,25,5,17,-1,24,-1,13,6,20,9,15,15,25,12,7,19,10,19,7,16,11,0
301277,15,22,2,2,1078,0,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,4,1,4,1,22,9,5,18,21,5,25,5,16,-1,19,-1,8,5,9,12,20,10,16,13,13,20,19,22,5,8,24,0
424729,4,4,13,11,37871,0,20,2,2,0,3,1,0,1,0,0,0,0,0,1,0,21,0,1,1,4,5,17,7,13,2,25,2,18,-1,7,-1,25,18,19,6,7,8,9,1,9,4,10,7,20,11,12,1
132808,10,16,7,3,4226,0,9,2,2,0,2,1,0,0,0,0,0,0,0,0,0,5,0,4,1,17,13,4,11,13,2,25,2,3,-1,5,-1,15,8,5,15,19,13,2,9,2,13,4,13,21,13,19,0
395105,25,25,4,1,31946,0,20,2,2,0,1,1,0,0,0,0,0,0,0,0,0,5,1,1,1,25,17,6,25,13,10,25,9,13,-1,13,-1,6,8,10,13,17,8,12,12,10,23,22,21,3,9,23,0
346821,10,16,3,13,1277,0,13,2,2,0,2,1,0,0,0,0,0,0,0,0,0,7,0,1,1,17,4,14,18,13,9,25,9,12,-1,11,-1,1,6,7,7,13,7,15,11,10,18,10,17,8,25,17,0
380932,12,18,6,14,44476,0,18,2,2,0,1,1,0,0,0,0,0,0,0,0,0,7,1,1,1,19,6,5,5,21,5,25,5,14,-1,22,-1,7,2,5,1,13,7,14,15,17,16,11,20,4,7,11,0
219693,7,12,22,2,32746,0,4,3,2,0,2,1,0,0,0,0,0,0,0,0,0,15,0,4,1,12,3,1,18,13,2,25,2,6,25,18,-1,10,14,18,9,9,5,5,2,24,18,20,19,12,15,20,0
206683,5,6,25,22,50237,0,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,9,1,4,1,6,14,21,10,14,24,25,24,24,-1,16,-1,21,8,6,7,5,6,25,11,11,11,7,15,11,5,11,1
122374,5,14,12,19,19346,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,12,1,3,0,5,2,9,13,13,10,25,9,12,-1,16,-1,6,5,15,10,24,12,17,11,9,18,10,18,8,15,15,0
288748,8,12,4,8,38017,0,9,2,2,0,2,1,0,0,0,0,0,0,0,0,0,8,0,1,0,13,2,9,19,13,10,25,9,9,-1,12,-1,17,4,7,7,13,6,24,13,9,24,23,23,3,14,21,0
253747,6,9,4,5,33590,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,19,0,1,0,10,1,2,15,19,5,25,5,11,-1,22,-1,5,6,19,6,8,13,21,11,21,23,24,20,2,5,21,0
182522,8,13,8,1,26398,0,6,3,2,0,3,1,0,1,0,0,0,0,0,1,0,1,1,4,0,13,19,19,11,13,2,25,2,5,-1,5,-1,15,5,2,22,13,5,7,8,4,10,3,9,22,15,17,0
44692,10,16,7,18,65274,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,15,0,1,1,17,11,11,2,19,5,25,5,11,-1,19,-1,12,12,23,9,23,13,21,12,19,10,11,9,24,11,2,0
77439,6,8,5,7,20895,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,12,0,3,1,11,12,10,17,16,5,25,5,8,-1,20,-1,2,4,12,9,9,9,22,11,15,21,17,19,5,8,17,0
363610,1,1,11,23,19242,0,16,2,2,0,2,1,0,0,0,0,0,0,0,0,0,17,0,2,0,1,6,24,3,13,13,25,11,19,-1,3,-1,1,6,20,6,13,8,23,12,6,20,7,23,2,8,1,0
186932,2,2,8,24,38015,0,20,2,2,0,2,1,0,0,0,0,0,0,0,0,0,4,0,4,0,2,9,22,15,23,14,25,15,23,-1,1,-1,10,2,1,11,11,1,1,23,21,14,18,20,8,8,15,0
252126,6,17,10,21,54747,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,12,1,4,1,8,17,23,4,13,23,25,24,25,-1,17,-1,18,19,23,1,2,8,24,11,10,5,20,19,13,14,2,0
384359,2,2,25,16,694,0,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,10,1,4,0,2,12,25,10,22,5,25,5,16,-1,23,-1,4,3,10,12,7,10,15,12,16,4,18,3,21,10,16,0
295291,25,25,3,6,48402,0,-1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,4,0,25,5,1,21,14,25,25,24,24,-1,15,-1,21,7,11,17,18,5,22,12,11,22,19,23,1,10,20,0
369626,13,20,2,13,20630,0,18,2,2,0,1,1,0,0,0,0,0,0,0,0,0,11,1,1,0,20,3,1,14,13,9,25,9,8,-1,5,-1,17,14,22,14,22,14,19,10,9,20,20,16,13,14,18,1
186217,5,6,25,13,32309,0,16,3,2,0,2,1,0,0,0,0,0,0,0,0,0,15,0,2,0,6,13,19,9,13,2,25,2,6,-1,12,-1,11,3,8,15,23,6,14,5,22,17,10,18,8,10,9,0
81640,8,12,4,19,26351,0,-1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,17,0,4,0,13,1,2,16,13,2,25,2,6,25,17,-1,23,7,9,17,23,3,4,3,24,20,21,22,6,12,25,0
356700,5,7,11,10,43283,0,7,3,2,0,2,1,0,0,0,0,0,0,0,0,0,12,1,2,0,7,2,19,6,13,2,25,2,15,-1,18,-1,24,13,16,5,15,6,13,4,24,3,3,6,24,6,2,0
137434,8,13,8,7,45319,0,-1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,5,0,4,0,13,17,15,15,13,2,25,2,7,-1,9,-1,14,6,7,13,18,12,6,8,1,17,7,16,18,14,20,0
77121,15,21,2,6,22903,0,17,2,2,0,2,1,0,0,0,0,0,0,0,0,0,9,0,1,0,22,17,2,9,13,10,25,10,16,-1,16,-1,2,5,21,9,19,9,18,11,13,16,3,17,9,20,9,0
19143,11,17,6,3,43381,0,12,2,2,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,1,18,13,23,17,21,5,25,5,16,-1,22,-1,6,4,13,9,14,8,14,11,16,21,20,17,14,10,11,1
33165,9,15,3,12,52290,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,23,1,3,1,15,2,1,19,18,5,25,5,11,-1,20,-1,8,10,19,4,18,15,20,12,17,25,25,25,1,5,18,1
6191,9,15,7,9,36088,0,25,3,2,0,1,1,0,0,0,0,0,0,0,0,0,25,0,3,0,16,4,14,1,20,5,25,5,11,-1,23,-1,22,10,24,6,7,17,20,12,18,3,10,1,25,15,1,0
71252,14,24,5,7,11358,0,17,3,2,0,1,1,0,0,0,0,0,0,0,0,0,4,1,4,1,21,14,11,8,16,20,25,20,20,-1,3,25,25,9,11,5,6,9,17,10,22,17,21,25,1,8,8,0
74742,1,8,5,18,2576,0,1,3,2,0,3,1,0,1,0,0,0,0,0,1,0,3,0,4,0,8,1,10,13,13,10,25,10,16,-1,15,-1,1,6,2,9,22,4,2,9,13,11,1,9,20,10,13,0
131267,19,23,2,11,58758,0,7,2,2,0,3,1,0,1,0,0,0,0,0,1,0,23,0,3,1,24,14,11,21,13,2,25,2,2,-1,9,-1,20,16,18,25,25,15,2,9,2,24,23,25,1,10,25,0
176677,5,5,5,14,17208,0,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,25,0,3,0,6,5,20,7,15,5,25,5,8,-1,19,-1,3,4,7,2,6,8,16,11,15,15,15,19,8,13,12,1
173573,7,10,4,25,10206,0,13,2,2,0,2,1,0,0,0,0,0,0,0,0,0,8,0,4,1,11,10,4,13,25,8,25,7,22,-1,10,-1,24,5,6,1,2,4,14,7,6,14,16,19,7,7,11,0
281931,5,15,11,20,2383,0,-1,2,2,0,2,1,0,0,0,0,0,0,0,0,0,15,0,4,0,7,3,24,7,14,22,25,24,24,-1,14,-1,21,14,20,2,1,10,23,11,10,1,16,7,24,14,10,0
93446,9,24,1,15,34670,0,16,2,2,0,2,1,0,0,0,0,0,0,0,0,0,5,0,4,1,24,3,1,12,13,2,25,2,17,-1,13,-1,24,22,11,7,4,5,12,3,25,11,3,15,21,11,8,0
185667,3,2,15,10,60632,0,20,3,2,0,2,1,0,0,0,0,0,0,0,0,0,7,1,4,0,2,11,23,2,13,2,25,2,14,-1,3,-1,24,7,18,9,5,9,2,1,7,5,7,16,15,18,5,0
367594,13,19,5,4,20468,0,5,3,2,0,2,1,0,0,0,0,0,0,0,0,0,7,0,4,1,20,4,8,15,13,2,25,2,17,-1,16,-1,24,8,6,19,23,4,11,2,24,18,11,19,15,8,15,0
351066,6,8,10,25,53315,0,11,2,2,0,1,1,0,0,0,0,0,0,0,0,0,8,1,4,1,8,12,13,4,22,18,25,19,25,-1,7,25,18,9,10,5,2,10,22,3,16,5,11,14,14,11,3,0
327613,3,2,7,25,51043,0,12,2,2,0,2,1,0,0,0,0,0,0,0,0,0,10,0,4,0,2,10,24,8,24,14,25,15,22,-1,8,-1,10,16,10,1,2,5,12,20,18,11,20,12,19,11,1,0
217248,6,8,5,7,24312,0,18,3,2,0,1,1,0,0,0,0,0,0,0,0,0,13,1,1,0,8,8,5,9,19,5,25,5,16,-1,22,-1,6,5,14,9,14,11,16,11,16,23,22,20,11,10,17,0
422515,8,13,8,9,13263,0,-1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,10,0,4,1,14,12,5,16,13,1,25,2,2,-1,1,-1,20,9,12,17,22,18,5,9,2,20,22,20,6,9,19,0
367474,23,24,1,5,20946,0,25,1,2,0,2,1,0,0,0,0,0,0,0,0,0,6,1,3,1,25,7,4,18,13,2,25,2,3,-1,2,-1,20,7,16,20,23,7,4,9,4,21,20,21,4,12,25,1
302801,5,7,5,5,94,0,8,2,2,0,1,1,0,0,0,0,0,0,0,0,0,10,1,4,1,7,4,16,7,13,10,25,9,12,-1,14,-1,2,7,14,7,18,10,18,10,9,8,3,10,22,8,12,1
53546,25,25,1,13,63830,0,7,3,2,0,2,1,0,0,0,0,0,0,0,0,0,15,1,2,1,25,11,1,17,13,2,25,2,4,-1,7,-1,16,13,11,19,24,7,5,5,22,23,24,21,4,7,20,0
98471,4,4,12,9,54832,0,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,4,3,18,6,21,5,25,4,19,-1,21,-1,25,4,8,7,16,8,15,12,6,13,1,14,13,12,6,0
324476,2,1,19,24,34443,1,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,0,1,11,25,1,24,13,25,15,22,-1,4,-1,10,6,14,5,4,5,12,23,18,2,22,11,15,16,1,0
264855,6,9,4,6,52751,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,12,1,3,1,9,4,2,14,13,10,25,9,9,-1,12,-1,17,7,11,7,14,9,14,13,8,20,16,21,7,14,18,1
71387,2,2,8,18,29996,0,8,1,2,0,2,1,0,0,0,0,0,0,0,0,0,8,1,4,0,2,9,21,4,13,2,25,2,1,-1,1,-1,24,18,16,8,3,9,7,9,5,6,6,1,25,20,3,1
338344,25,25,8,1,39966,0,25,2,2,0,2,1,0,0,0,0,0,0,0,0,0,6,1,4,1,25,25,1,14,13,2,25,2,6,-1,5,-1,11,5,12,12,18,6,1,3,3,20,20,20,6,6,13,1
257141,10,17,7,19,23503,0,18,2,2,0,1,1,0,0,0,0,0,0,0,0,0,9,1,4,1,17,19,12,24,14,24,25,24,22,-1,16,-1,4,11,8,10,5,10,23,15,13,18,16,21,6,6,24,0
409675,5,7,10,24,62404,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,6,1,4,0,7,7,24,12,22,15,25,16,25,-1,2,-1,7,15,5,4,1,8,13,1,22,14,15,20,5,14,13,0
338677,2,2,16,23,39740,0,7,2,2,0,1,1,0,0,0,0,0,0,0,0,0,18,1,2,0,2,7,25,4,14,22,25,24,24,-1,12,-1,21,12,8,7,13,7,22,9,10,7,19,13,6,7,1,0
160676,15,21,5,3,32041,1,4,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,1,22,12,12,10,13,2,25,2,5,-1,1,-1,25,16,5,10,7,4,2,9,6,8,2,9,22,13,13,0
287889,17,23,4,19,41279,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,4,1,23,25,10,23,24,14,25,15,22,-1,6,-1,4,1,1,11,10,1,10,20,17,19,17,22,2,9,21,0
306836,7,11,9,13,33545,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,19,1,1,0,11,5,14,16,22,5,25,4,11,-1,25,-1,5,8,25,5,13,25,21,11,19,17,7,22,13,6,12,0
12546,10,16,7,7,60106,0,15,2,2,0,1,1,0,0,0,0,0,0,0,0,0,24,0,3,0,17,6,7,11,21,5,25,5,11,-1,19,-1,5,6,24,3,11,14,21,11,20,15,16,10,18,13,18,0
330328,4,4,6,19,62678,0,15,2,2,0,1,1,0,0,0,0,0,0,0,0,0,8,1,4,0,5,13,21,8,23,15,25,16,23,-1,5,-1,18,4,5,3,1,6,15,3,21,15,13,20,6,15,6,1
334298,6,7,10,7,9787,0,13,2,2,0,1,1,0,0,0,0,0,0,0,0,0,14,1,1,0,8,10,9,13,13,9,25,9,8,-1,5,-1,17,11,13,9,18,10,23,13,11,19,12,13,20,9,13,0
254060,4,4,13,11,33120,0,16,2,2,0,1,1,0,0,0,0,0,0,0,0,0,22,0,1,0,4,7,8,12,19,5,25,5,11,-1,19,-1,5,17,24,8,14,25,21,12,19,16,11,17,19,18,4,1
411131,9,14,8,12,38844,0,16,2,2,0,1,1,0,0,0,0,0,0,0,0,0,11,1,4,1,14,6,11,25,18,5,25,5,11,-1,20,-1,8,5,9,8,15,13,20,11,13,20,18,19,15,5,22,0
243777,10,16,7,15,65308,0,18,2,2,0,1,1,0,0,0,0,0,0,0,0,0,14,1,1,1,16,7,11,12,16,6,25,5,17,-1,25,-1,7,6,12,7,13,9,18,10,8,20,13,22,8,10,21,0
193760,7,19,9,24,42138,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,14,1,4,0,11,9,25,8,25,14,25,14,22,-1,8,-1,10,16,15,3,1,9,13,23,20,5,19,7,18,14,10,1
176499,4,4,13,25,8506,0,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,15,1,1,0,4,14,24,5,25,8,25,7,22,-1,17,-1,24,6,15,2,10,5,15,7,6,8,15,13,15,7,3,0
177643,4,4,13,11,47715,0,17,2,2,0,3,1,0,1,0,0,0,0,0,1,0,14,0,4,1,4,8,12,2,13,2,25,2,1,-1,4,-1,15,5,17,13,15,8,8,9,4,4,12,7,24,17,3,0
